FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
1271	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4597.744576	4600.616048	5681.830097	5746.731428	5705.170361	5705.170361	41214541.553208	43197309.808671	43197322.808671	7	9	3	7	0.951345
1272	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8334.664481	8339.822924	1384.119211	1463.620112	1427.168578	1410.889453	142700540.663493	160791567.200272	160791609.200272	10	16	7	13	0.974683
1273	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4262.557393	4265.242813	5524.530559	5560.586788	5540.013701	5540.013701	27799574.500682	29836879.342150	29836890.342150	6	8	3	7	0.954575
1274	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6755.033779	6759.276322	6336.462736	6407.916096	6372.706120	6368.840378	49490788.400953	57124692.479625	57124743.479625	6	13	8	11	0.993745
1275	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9371.862596	9377.728764	2058.028620	2096.642356	2077.765057	2073.690613	47650767.987103	51745785.258162	51745798.258162	7	9	3	8	0.899632
1276	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6312.396633	6316.274402	883.104446	894.658581	886.947726	886.947726	32168887.600438	46243434.355365	46243484.355365	5	11	7	11	0.990185
1277	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6311.392222	6315.269991	998.871096	1096.233214	1021.898117	1026.148627	4669514.198106	5268577.331494	5268595.331494	9	13	5	11	0.914475
1278	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6451.600544	6455.565872	2129.247383	2239.581814	2216.357493	2183.136902	28623733.037161	28623733.037161	28623751.037161	7	11	5	8	0.951215
1279	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9107.849934	9113.476538	1368.803797	1395.579140	1387.951653	1391.766368	6651176.489174	7156022.190578	7156042.190578	11	16	6	16	0.907531
1280	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8566.950671	8572.247060	2404.399855	2436.068067	2427.592100	2423.765947	27093682.736257	27093682.736257	29105931.975626	5	7	3	6	0.865059
1281	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9207.597460	9213.275429	2383.572764	2415.590519	2395.516405	2391.998088	22272609.047936	23274636.820814	23274651.820814	11	13	3	13	0.926692
1282	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4414.396441	4417.169430	2023.013704	2073.690613	2053.936368	2053.936368	40968695.856324	46195262.990085	46195274.990085	6	9	4	8	0.950818
1283	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12160.360098	12167.968241	2089.120016	2180.964135	2161.894437	2153.608153	48542903.139599	49155220.656443	41717127.916727	15	20	6	17	0.865060
1284	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7475.582348	7480.228224	1727.074375	1762.562199	1734.705059	1734.705059	37519746.222477	40481303.143479	40481330.143479	7	11	5	10	0.939503
1285	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	12738.432033	12746.406709	4947.574461	4991.042816	4968.260049	4972.295811	28792818.402378	28792818.402378	28792829.402378	8	10	3	8	0.924913
1286	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6536.257103	6540.261591	1299.845355	1376.459159	1345.835167	1345.835167	34710794.119400	42350960.266764	42350996.266764	6	10	5	7	0.994958
1287	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8553.722725	8559.007554	1173.569697	1273.058094	1238.664546	1234.828505	87079907.111108	103656196.599415	101954861.205777	8	18	11	14	0.996155
1288	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	15613.242283	15622.994055	3254.915266	3322.205679	3290.376022	3285.989646	51050407.585649	51050407.585649	51050423.585649	17	20	4	18	0.883433
1289	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8685.754093	8691.137258	1049.151497	1138.764713	1096.233214	1096.233214	17200674.273642	18106576.524368	17463840.011881	9	18	10	15	0.980138
1290	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8683.796893	8689.180059	1192.646281	1326.661585	1227.161845	1234.828505	15408517.229951	16319637.998179	16319675.998179	10	16	7	13	0.963329
1291	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	13427.629209	13436.007222	2387.692739	2431.601006	2408.112249	2408.112249	77696719.226020	79992572.984665	79992619.984665	13	20	8	18	0.967831
1292	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6701.026630	6705.241068	6320.634202	6380.499229	6349.811149	6353.507856	8374040.522507	9245623.925151	9245647.925151	8	12	5	10	0.917972
